% C. CONSOLIDATED & CALIBRATED FACULAR COUNTS FOR THE NORTH POLE BY NEIL SHEELEY JR. AND ANDRES MUNOZ-JARAMILLO
%
% VERSION 2 - Please indicate version used in scientific publications in case of changes.
%
% Faculae counted by hand on the best 5 images during the periods of maximum North pole coverage
% (August 15-September 15) and averaged.  Standard deviation has been turned into standard error by
% dividing it by sqrt(5).  Years with multiple observations have been averaged as well as their
% their standard errors.
%
% Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
% were standardized to the values of the 3rd campaign in order to reduce error propagation.
% Calibration factors used were:
%
% 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
% 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
% 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
%
% Original papers reporting the different data reduction campaigns are:
%
% 1st Campaign:
% Sheeley N. R. Jr. 1964 ApJ 140 731
% Sheeley N. R. Jr. 1966 ApJ 144 723
%
% 2nd Campaign:
% Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
%
% 3rd Campagin:
% Sheeley N. R. Jr. 1991 ApJ 374 386
%
% 4th Campagin:
% Sheeley N. R. Jr. 2008 ApJ 680 1553
%
% Details on the consolidation and calibration of the different campaigns can be found in:
%
% A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
% CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
% FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
% ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
%
% Paper available from:
% http://www.solardynamo.org/docs/Munoz-Jaramillo_etal_ApJ2012.pdf
% 
%
% First column indicates time of measurement, all other columns alternate between facular count (Count)
% and standard error of the mean (SEM).  The first number on each column indicates the campaign (Cm) it belongs to.
% For example, 1st_Cm- Count indicates the count of polar faculae (Ct) in the first campaign (Cm).  3rd_Cm - SE
% indicates the standard error of the mean (SEM) of facular count in the third campaign (Cm) 
%
% FOR INFORMATION AND INQUIRIES, PLEASE VISIT:  www.solardynamo.org
%
% Created on 11-Nov-2015
%
%     Date (Yrs)   1st_Cm- Count    1st_Cm - SEM   2nd_Cm- Count    2nd_Cm - SEM   3rd_Cm- Count    3rd_Cm - SEM   4th_Cm- Count    4th_Cm - SEM
   1.9656658e+03             NaN             NaN  -9.1891800e+00   2.9712683e+00             NaN             NaN             NaN             NaN
   1.9666658e+03             NaN             NaN  -7.5847200e+00   2.6826801e+00             NaN             NaN             NaN             NaN
   1.9676658e+03             NaN             NaN  -3.5006400e+00   1.2084296e+00             NaN             NaN             NaN             NaN
   1.9686658e+03             NaN             NaN  -2.6254800e+00   1.0195539e+00             NaN             NaN             NaN             NaN
   1.9696658e+03             NaN             NaN  -1.8961800e+00   7.4572616e-01             NaN             NaN             NaN             NaN
   1.9706658e+03             NaN             NaN   1.7503200e+00   6.9585651e-01  -7.0000000e-01   5.1429563e-01             NaN             NaN
   1.9716658e+03             NaN             NaN   3.3547800e+00   1.3917074e+00   4.0000000e-01   2.6832816e-01             NaN             NaN
   1.9726658e+03             NaN             NaN   1.2252240e+01   3.6566274e+00   6.3000000e+00   2.0348219e+00             NaN             NaN
   1.9736658e+03             NaN             NaN   1.0210200e+01   3.3419364e+00   1.3500000e+01   1.9230185e+00             NaN             NaN
   1.9746658e+03             NaN             NaN             NaN             NaN   1.1600000e+01   1.9453791e+00             NaN             NaN
   1.9756658e+03             NaN             NaN             NaN             NaN   1.3800000e+01   2.0571825e+00             NaN             NaN
   1.9766658e+03             NaN             NaN             NaN             NaN   1.1100000e+01   2.5043961e+00             NaN             NaN
   1.9776658e+03             NaN             NaN             NaN             NaN   1.2600000e+01   1.8112151e+00             NaN             NaN
   1.9786658e+03             NaN             NaN             NaN             NaN   8.2000000e+00   1.7217723e+00             NaN             NaN
   1.9796658e+03             NaN             NaN             NaN             NaN   6.2000000e+00   1.9230185e+00             NaN             NaN
   1.9806658e+03             NaN             NaN             NaN             NaN   7.0000000e-01   3.8013156e-01             NaN             NaN
   1.9816658e+03             NaN             NaN             NaN             NaN  -1.8000000e+00   5.5901699e-01             NaN             NaN
   1.9826658e+03             NaN             NaN             NaN             NaN  -1.0000000e+01   9.6150923e-01             NaN             NaN
   1.9836658e+03             NaN             NaN             NaN             NaN  -1.9100000e+01   2.1913466e+00             NaN             NaN
   1.9846658e+03             NaN             NaN             NaN             NaN  -1.9800000e+01   1.7217723e+00             NaN             NaN
   1.9856658e+03             NaN             NaN             NaN             NaN  -2.0000000e+01   1.6323296e+00  -1.9464672e+01   2.4704336e+00
   1.9866658e+03             NaN             NaN             NaN             NaN  -2.4000000e+01   1.9230185e+00  -2.0170215e+01   2.6009451e+00
   1.9876658e+03             NaN             NaN             NaN             NaN  -2.1700000e+01   1.5652476e+00  -1.9838195e+01   2.8367357e+00
   1.9886658e+03             NaN             NaN             NaN             NaN  -1.5900000e+01   2.2137073e+00  -1.1205675e+01   2.1263627e+00
   1.9896658e+03             NaN             NaN             NaN             NaN  -1.1600000e+01   1.9677398e+00  -8.8815350e+00   1.1935700e+00
   1.9906658e+03             NaN             NaN             NaN             NaN  -4.0000000e-01   2.2360680e-01  -1.4110850e+00   5.0499331e-01
   1.9916658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.9921200e+00   6.0850080e-01
   1.9926658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.5770950e+01   3.8033099e+00
   1.9936658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.4525875e+01   2.6243315e+00
   1.9946658e+03             NaN             NaN             NaN             NaN             NaN             NaN   9.6285800e+00   1.3852910e+00
   1.9956658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.1952720e+01   2.8765801e+00
   1.9966658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.1205675e+01   2.4290517e+00
   1.9976658e+03             NaN             NaN             NaN             NaN             NaN             NaN   1.7348045e+01   2.5979306e+00
   1.9986658e+03             NaN             NaN             NaN             NaN             NaN             NaN   8.3835050e+00   1.3664160e+00
   1.9996658e+03             NaN             NaN             NaN             NaN             NaN             NaN   5.2293150e+00   1.3192786e+00
   2.0006658e+03             NaN             NaN             NaN             NaN             NaN             NaN   3.3202000e-01   9.0967898e-02
   2.0016658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -7.4704500e-01   4.3785887e-01
   2.0026658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -1.5770950e+00   4.7647175e-01
   2.0036658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -1.1122670e+01   2.3608923e+00
   2.0046658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -7.7194650e+00   1.0646761e+00
   2.0056658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -5.4783300e+00   1.2341675e+00
   2.0066658e+03             NaN             NaN             NaN             NaN             NaN             NaN  -9.8775950e+00   1.4707047e+00
